codigo_cid,nome_doenca,grupo_codigo,grupo_doenca,prioridade_saude_ocupacional,aplicacao_ocupacional,ordem_grupo,letra_cid
A09,Diarreia e gastroenterite de origem infecciosa presumível,A-B,Doenças infecciosas e parasitárias,Alta,Condição aguda com potencial de afastamento,1,A
A90,Dengue,A-B,Doenças infecciosas e parasitárias,Alta,Condição infecciosa com potencial de afastamento,1,A
C18,Neoplasia maligna do cólon,C-D,Neoplasias (tumores),Alta,Doença grave; pode envolver afastamento prolongado,2,C
C19,Neoplasia maligna da junção retossigmoide,C-D,Neoplasias (tumores),Alta,Doença grave; pode envolver afastamento prolongado,2,C
C20,Neoplasia maligna do reto,C-D,Neoplasias (tumores),Alta,Doença grave; pode envolver afastamento prolongado,2,C
C34,Neoplasia maligna dos brônquios e pulmões,C-D,Neoplasias (tumores),Alta,Doença grave; pode envolver afastamento prolongado,2,C
C43,Melanoma maligno da pele,C-D,Neoplasias (tumores),Alta,Doença grave; pode envolver afastamento,2,C
C50,Neoplasia maligna da mama,C-D,Neoplasias (tumores),Alta,Doença grave; pode envolver afastamento prolongado,2,C
C61,Neoplasia maligna da próstata,C-D,Neoplasias (tumores),Alta,Doença grave; pode envolver afastamento prolongado,2,C
C90,Mieloma múltiplo e neoplasias malignas de plasmócitos,C-D,Neoplasias (tumores),Alta,Doença grave; pode envolver afastamento prolongado,2,C
E10.9,Diabetes mellitus insulinodependente sem complicações,E,"Doenças endócrinas, nutricionais e metabólicas",Alta,Condição crônica; afastamento conforme complicações,4,E
E11.4,Diabetes mellitus não-insulinodependente com complicações neurológicas,E,"Doenças endócrinas, nutricionais e metabólicas",Alta,Potencial de incapacidade conforme complicações,4,E
E11.5,Diabetes mellitus não-insulinodependente com complicações circulatórias,E,"Doenças endócrinas, nutricionais e metabólicas",Alta,Potencial de incapacidade conforme complicações,4,E
E11.9,Diabetes mellitus não-insulinodependente sem complicações,E,"Doenças endócrinas, nutricionais e metabólicas",Alta,Condição crônica; afastamento conforme complicações,4,E
F10.2,Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome de dependência,F,Transtornos mentais e comportamentais,Alta,Saúde mental e capacidade laboral,5,F
F32.0,Episódio depressivo leve,F,Transtornos mentais e comportamentais,Alta,Saúde mental; potencial de afastamento,5,F
F32.1,Episódio depressivo moderado,F,Transtornos mentais e comportamentais,Alta,Saúde mental; potencial de afastamento,5,F
F32.2,Episódio depressivo grave sem sintomas psicóticos,F,Transtornos mentais e comportamentais,Alta,Saúde mental; potencial de afastamento prolongado,5,F
F32.3,Episódio depressivo grave com sintomas psicóticos,F,Transtornos mentais e comportamentais,Alta,Saúde mental; potencial de afastamento prolongado,5,F
F33.0,"Transtorno depressivo recorrente, episódio atual leve",F,Transtornos mentais e comportamentais,Alta,Saúde mental; potencial de afastamento,5,F
F33.1,"Transtorno depressivo recorrente, episódio atual moderado",F,Transtornos mentais e comportamentais,Alta,Saúde mental; potencial de afastamento,5,F
F33.2,"Transtorno depressivo recorrente, episódio atual grave sem sintomas psicóticos",F,Transtornos mentais e comportamentais,Alta,Saúde mental; potencial de afastamento prolongado,5,F
